Time, Probe0_Pressure, Probe1_Pressure, Probe2_Pressure
3.600149e+00, 1.032212e-01, 1.161509e-01, 1.574996e-01
3.610080e+00, 1.010615e-01, 1.153354e-01, 1.570000e-01
3.620170e+00, 1.004462e-01, 1.158244e-01, 1.568450e-01
3.630156e+00, 1.020907e-01, 1.162625e-01, 1.564729e-01
3.640109e+00, 1.032844e-01, 1.196155e-01, 1.553876e-01
3.650040e+00, 1.025907e-01, 1.337467e-01, 1.535868e-01
3.660243e+00, 1.010511e-01, 1.489085e-01, 1.513796e-01
3.670019e+00, 9.941175e-02, 1.542475e-01, 1.493064e-01
3.680296e+00, 9.880759e-02, 1.548642e-01, 1.474077e-01
3.690175e+00, 9.912408e-02, 1.551295e-01, 1.458825e-01
3.700266e+00, 9.989173e-02, 1.563096e-01, 1.444405e-01
3.710034e+00, 1.004063e-01, 1.579687e-01, 1.429128e-01
3.720162e+00, 1.000461e-01, 1.591393e-01, 1.411429e-01
3.730016e+00, 9.934761e-02, 1.596955e-01, 1.394546e-01
3.740151e+00, 9.880714e-02, 1.597518e-01, 1.379675e-01
3.750232e+00, 9.856496e-02, 1.588786e-01, 1.366271e-01
3.760260e+00, 9.940292e-02, 1.569096e-01, 1.351639e-01
3.770268e+00, 1.005167e-01, 1.551648e-01, 1.338347e-01
3.780286e+00, 1.009418e-01, 1.545808e-01, 1.334536e-01
3.790013e+00, 1.007810e-01, 1.551382e-01, 1.340646e-01
3.800007e+00, 1.001097e-01, 1.561752e-01, 1.345224e-01
3.810298e+00, 9.946175e-02, 1.561704e-01, 1.338120e-01
3.820012e+00, 9.960402e-02, 1.541562e-01, 1.323035e-01
3.830003e+00, 1.000620e-01, 1.504257e-01, 1.305371e-01
3.840223e+00, 9.999798e-02, 1.459709e-01, 1.287806e-01
3.850118e+00, 9.940132e-02, 1.418508e-01, 1.271989e-01
3.860023e+00, 9.852059e-02, 1.384020e-01, 1.257939e-01
3.870286e+00, 9.744475e-02, 1.358594e-01, 1.245275e-01
3.880010e+00, 9.633907e-02, 1.344435e-01, 1.234560e-01
3.890259e+00, 9.518774e-02, 1.337105e-01, 1.224322e-01
3.900262e+00, 9.601920e-02, 1.332510e-01, 1.215108e-01
3.910245e+00, 9.717916e-02, 1.325523e-01, 1.206248e-01
3.920208e+00, 9.916020e-02, 1.313381e-01, 1.197914e-01
3.930193e+00, 1.028629e-01, 1.295729e-01, 1.190832e-01
3.940206e+00, 1.091875e-01, 1.274950e-01, 1.184997e-01
